Footfalls,DailySales
112,49537
280,114622
116,50678
81,34121
198,81862
30,15962
112,46640
131,54130
224,92534
97,42069
109,48661
161,68983
140,59044
159,68998
267,112514
201,83067
286,119334
170,72992
31,14087
262,107868
245,100075
58,26355
68,30229
179,75848
197,84066
280,116398
199,84192
184,77014
60,28482
64,27396
253,104271
140,60132
144,60359
30,17030
176,73826
283,118646
98,43749
23,12111
251,105029
274,114425
62,28652
101,43401
273,114352
44,21469
215,88655
90,38411
59,26479
11,9071
63,27815
115,51329
269,111657
200,83154
227,94371
53,23941
171,72122
211,89663
279,115212
280,117422
224,93733
261,109740
199,82804
222,92088
217,89974
246,103064
62,28723
289,118728
226,94072
261,107726
197,84018
50,21909
166,69543
24,12130
74,31544
18,8589
138,60500
145,62876
72,33978
148,62049
90,38043
172,71151
298,123390
270,113978
240,101405
50,24943
37,17579
144,60671
210,89144
277,116671
42,19104
57,25881
71,31204
225,94389
108,45195
181,75415
223,94673
44,22654
236,99801
110,48898
140,60744
266,110100
