Call_Duration,Network_Provider,Satisfaction_Score
51,Provider D,9
37,Provider C,10
21,Provider B,1
14,Provider B,6
4,Provider A,6
54,Provider C,8
29,Provider D,4
22,Provider D,1
10,Provider B,6
46,Provider B,9
7,Provider D,9
50,Provider B,4
47,Provider C,1
9,Provider A,3
22,Provider B,10
10,Provider D,3
41,Provider A,6
46,Provider B,8
17,Provider B,1
29,Provider A,5
15,Provider A,5
38,Provider C,10
44,Provider B,6
23,Provider C,6
29,Provider B,10
16,Provider A,4
20,Provider B,4
59,Provider C,6
42,Provider D,4
37,Provider C,10
33,Provider C,10
8,Provider D,2
6,Provider A,1
50,Provider B,8
56,Provider A,9
41,Provider D,1
29,Provider C,4
57,Provider D,4
1,Provider A,4
21,Provider C,1
8,Provider D,5
51,Provider D,8
38,Provider D,3
48,Provider B,5
49,Provider D,6
52,Provider B,10
12,Provider D,3
52,Provider D,5
21,Provider D,5
24,Provider B,9
30,Provider D,8
38,Provider C,5
8,Provider B,9
55,Provider A,6
30,Provider A,10
35,Provider C,5
21,Provider C,6
1,Provider A,6
45,Provider B,10
22,Provider C,5
45,Provider C,3
37,Provider B,8
19,Provider D,1
8,Provider B,9
48,Provider C,10
50,Provider C,2
31,Provider B,1
40,Provider A,4
1,Provider A,10
43,Provider D,10
23,Provider B,5
18,Provider B,3
7,Provider A,1
20,Provider C,4
52,Provider A,1
56,Provider C,2
46,Provider B,2
17,Provider C,8
16,Provider B,7
9,Provider D,3
54,Provider D,4
48,Provider C,1
54,Provider D,5
23,Provider C,10
48,Provider D,3
46,Provider D,5
5,Provider A,5
31,Provider B,6
50,Provider B,3
7,Provider B,3
38,Provider A,6
56,Provider C,3
14,Provider C,3
39,Provider C,7
33,Provider D,10
5,Provider A,3
8,Provider B,3
26,Provider B,3
57,Provider B,8
28,Provider C,10
